M	J
x	x
✓	✓
✓	x
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
