M	J
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	x
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	x
