M	J
	User-generated content
	
	User-generated content
	
	User-generated content
	Non-standard dialect
	
	Non-standard dialect
Code-switching	
	
	Code-switching
	
	Non-standard dialect
	
Non-standard dialect	User-generated content
	
	Non-standard dialect
	
	
	
