M	J
✓	✓
✓	✓
✓	✓
✓	✓
✓	x
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
