M	J
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	✓
✓	x
✓	x
✓	✓
